words;greetings;goodbye
вечер александр;1;0
данный платеж;0;0
минимаркет на;0;0
за месяц;0;0
меня нет;0;0
и они;0;0
лей от;0;0
окончания срока;0;0
вас на;0;0
ли в;0;0
не дошли;0;0
же не;0;0
должен быть;0;0
могу получить;0;0
покупки на;0;0
необходимо зайти;0;0
если карта;0;0
выполняете минимальные;0;0
ежемесячно в;0;0
вы совершаете;0;0
только за;0;0
комиссия минимум;0;0
в списке;0;0
кредитной карты;0;0
при получении;0;0
по моему;0;0
мне узнать;0;0
не надо;0;0
не помню;0;0
будут доступны;0;0
этого нужно;0;0
активировать карту;0;0
карты через;0;0
по всем;0;0
скриншот экрана;0;0
какая ошибка;0;0
эту операцию;0;0
предыдущий месяц;0;0
пожалуйста каким;0;0
самостоятельно в;0;0
проверила информацию;0;0
сейчас могу;0;0
этой операции;0;0
до по;0;0
далее изменить;0;0
на всех;0;0
просмотреть в;0;0
нашей горячей;0;0
эта сумма;0;0
и офисе;0;0
они будут;0;0
сможете в;0;0
завтра в;0;0
приложение и;0;0
андрей добрый;1;0
почему то;0;0
где в;0;0
на другой;0;0
ли комиссия;0;0
на смарт;0;0
находится на;0;0
до свидания;0;1
другим людям;0;0
не понимаю;0;0
а;0;0
не доступны;0;0
меня карта;0;0
поступит в;0;0
со своего;0;0
банка получателя;0;0
написано что;0;0
что на;0;0
ограничения по;0;0
для списания;0;0
на счёте;0;0
погашения кредита;0;0
в какой;0;0
какая сумма;0;0
операций не;0;0
смс инфо;0;0
одну карту;0;0
и через;0;0
пришло смс;0;0
банк в;0;0
было бы;0;0
с чем;0;0
другой банк;0;0
установлен лимит;0;0
платежа по;0;0
возможность оформления;0;0
рекомендуем обратиться;0;0
направила запрос;0;0
для начисления;0;0
деньги откроется;0;0
последние два;0;0
номеру счета;0;0
уточняю условия;0;0
вашей операционной;0;0
далее о;0;0
согласно тарифу;0;0
телефону нашей;0;0
приносим вам;0;0
течении ти;0;0
картой в;0;0
месяца за;0;0
телефона и;0;0
узнать реквизиты;0;0
по смс;0;0
можете написать;0;0
если вам;0;0
информация будет;0;0
операции которые;0;0
на перевод;0;0
можете проверить;0;0
операция по;0;0
снимать деньги;0;0
да вы;0;0
подскажите в;0;0
информации о;0;0
операцию по;0;0
наш сотрудник;0;0
от организации;0;0
по времени;0;0
в городе;0;0
открытие на;0;0
в дальнейшем;0;0
телефона на;0;0
день не;0;0
счете карты;0;0
месяц до;0;0
что значит;0;0
как сменить;0;0
то я;0;0
оформить карту;0;0
накопительный счет;0;0
день екатерина;1;0
вы получите;0;0
для подтверждения;0;0
от минут;0;0
в полной;0;0
полной версии;0;0
версии интернетбанка;0;0
процент на;0;0
я знаю;0;0
деньги со;0;0
течении дня;0;0
карты при;0;0
выдачу наличных;0;0
елена добрый;1;0
как правило;0;0
с вашей;0;0
меня интересует;0;0
верно;0;0
этом случае;0;0
на свою;0;0
приложении можно;0;0
не правильно;0;0
взиматься комиссия;0;0
снимать наличные;0;0
да я;0;0
вам в;0;0
ссылке https;0;0
общую сумму;0;0
как и;0;0
спасибо все;0;0
комиссии в;0;0
стр;0;0
еще вопрос;0;0
сформировать выписку;0;0
в последний;0;0
не предусмотрено;0;0
aeroflot;0;0
как не;0;0
изменить номер;0;0
только с;0;0
сумму не;0;0
информации по;0;0
совершения операции;0;0
$ и;0;0
евро в;0;0
здравствуйте могу;1;0
вам большое;0;0
составить запрос;0;0
я должен;0;0
таким образом;0;0
можно поменять;0;0
потому что;0;0
или можно;0;0
во всех;0;0
как получить;0;0
как его;0;0
ожидайте звонка;0;0
дня и;0;0
списание за;0;0
банк по;0;0
а именно;0;0
в которой;0;0
вы выбираете;0;0
пинкода в;0;0
операция не;0;0
если это;0;0
будут приходить;0;0
в организацию;0;0
будет отражена;0;0
коммунальных услуг;0;0
по ул;0;0
в статусе;0;0
раздел мои;0;0
угол для;0;0
то вам;0;0
которым в;0;0
на свой;0;0
один день;0;0
мобильного телефона;0;0
деньги за;0;0
счета и;0;0
смс по;0;0
операция прошла;0;0
бесплатного обслуживания;0;0
день после;0;0
обращении в;0;0
приложении не;0;0
это будет;0;0
снятия наличных;0;0
сейчас не;0;0
того что;0;0
это за;0;0
это в;0;0
перевести другим;0;0
комиссии не;0;0
актуальный номер;0;0
могу посмотреть;0;0
меня вопрос;0;0
хочу узнать;0;0
здравствуйте можно;1;0
за границей;0;0
смс с;0;0
операции от;0;0
необходимо обратится;0;0
последний день;0;0
на момент;0;0
это приложение;0;0
от валюты;0;0
также в;0;0
возникнут вопросы;0;0
банкомате открытие;0;0
карты можно;0;0
и интернетбанке;0;0
я просто;0;0
или это;0;0
операцию на;0;0
переводы по;0;0
в какое;0;0
сумма операции;0;0
двумя способами;0;0
проверим вашу;0;0
снять до;0;0
прямо здесь;0;0
вопросы остались;0;0
можете обратится;0;0
какого числа;0;0
сумма была;0;0
почему мне;0;0
максим добрый;1;0
если да;0;0
можете отключить;0;0
или только;0;0
не возможно;0;0
лей за;0;0
дополнительной карты;0;0
карту я;0;0
как сделать;0;0
данной карте;0;0
и наши;0;0
до этого;0;0
почему в;0;0
не подскажите;0;0
не удалось;0;0
банкомат на;0;0
течение месяца;0;0
снять с;0;0
получения карты;0;0
паспортные данные;0;0
данные и;0;0
срок зачисления;0;0
все равно;0;0
больше не;0;0
для перевыпуска;0;0
происходит на;0;0
банка траст;0;0
из следующих;0;0
хантымансийского банка;0;0
бы вы;0;0
вам хорошего;0;1
банкомат по;0;0
течении какого;0;0
до го;0;0
заявка на;0;0
а с;0;0
банка открытия;0;0
и еще;0;0
спасибо хорошего;0;1
который указан;0;0
при оформлении;0;0
по;0;0
вашему запросу;0;0
на сегодня;0;0
за неудобства;0;0
вместе с;0;0
войти в;0;0
на какой;0;0
приходить смс;0;0
может занять;0;0
хотел узнать;0;0
чтобы уточнить;0;0
для проверки;0;0
ниже будет;0;0
до в;0;0
пинкода вам;0;0
и расходным;0;0
расходным операциям;0;0
операция выполнена;0;0
ваше имя;0;0
день елена;0;0
день владимир;0;0
михаил здравствуйте;0;0
положить деньги;0;0
доброго времени;1;0
от банкаполучателя;0;0
вам ночи;0;1
сумма для;0;0
карте у;0;0
кредитного лимита;0;0
просроченной задолженности;0;0
общая сумма;0;0
по сумме;0;0
увидеть в;0;0
понимаю что;0;0
эти деньги;0;0
информация в;0;0
как подключить;0;0
не поступит;0;0
в сторонних;0;0
вы его;0;0
по ссылке;0;0
пожалуйста с;0;0
свободное управление;0;0
можете закрыть;0;0
а вот;0;0
начисляются мили;0;0
взаимно;0;0
москва;0;0
как оплатить;0;0
вашему тарифу;0;0
предоставляется бесплатно;0;0
срок до;0;0
смарт карте;0;0
работает на;0;0
зарплатной карты;0;0
и там;0;0
сумма будет;0;0
это все;0;0
спасибо я;0;0
ваш контактный;0;0
сможете снять;0;0
в терминале;0;0
его в;0;0
ограничений нет;0;0
когда карта;0;0
следующих условий;0;0
условий на;0;0
сумму и;0;0
от;0;0
этот номер;0;0
и при;0;0
что деньги;0;0
было списание;0;0
бы хотел;0;0
первый рабочий;0;0
карты ниже;0;0
покупки в;0;0
и сумму;0;0
переводить средства;0;0
у них;0;0
совершить в;0;0
подскажите почему;0;0
наличные в;0;0
и есть;0;0
ограничения в;0;0
нажимаете полезное;0;0
вы провели;0;0
с кредитным;0;0
входа в;0;0
за перевыпуск;0;0
можете самостоятельно;0;0
ожидание в;0;0
условиям тарифа;0;0
тарифа вашей;0;0
по приходным;0;0
приходным и;0;0
в тарифе;0;0
вашего вклада;0;0
день евгений;1;0
текущим днем;0;0
евгений здравствуйте;1;0
ваш платеж;0;0
выписку можно;0;0
технические работы;0;0
и минут;0;0
доброй ночи;0;1
период с;0;0
просроченная задолженность;0;0
или через;0;0
карту необходимо;0;0
без взимания;0;0
и почему;0;0
на проведение;0;0
услугу возможно;0;0
при обращении;0;0
можете пополнить;0;0
проценты на;0;0
карты будет;0;0
каждый месяц;0;0
со мной;0;0
внутри банка;0;0
сделать перевод;0;0
я хотела;0;0
сейчас составлю;0;0
а есть;0;0
не превышающую;0;0
как на;0;0
за смс;0;0
и евро;0;0
тот же;0;0
на нее;0;0
о поступлении;0;0
но деньги;0;0
по оплате;0;0
на выбор;0;0
отличной от;0;0
сможете только;0;0
баланса в;0;0
приложение или;0;0
по факту;0;0
каком отделении;0;0
два раза;0;0
могу это;0;0
забыли пинкод;0;0
можно уточнить;0;0
такой вопрос;0;0
этот вопрос;0;0
по банковским;0;0
а через;0;0
начисленных миль;0;0
на новую;0;0
ближайший банкомат;0;0
адресу ул;0;0
пожалуйста новый;0;0
посмотреть чек;0;0
нажать кнопку;0;0
кредитной карте;0;0
при открытии;0;0
списана комиссия;0;0
кассу в;0;0
пожалуйста уточните;0;0
направьте нам;0;0
приношу вам;0;0
в сборнике;0;0
из приложения;0;0
вы в;0;0
города обращаетесь;0;0
ваше пожелание;0;0
затем сменить;0;0
рада помочь;0;0
хороших выходных;0;1
здравствуйте сергей;1;0
в полном;0;0
нет к;0;0
от го;0;0
го до;0;0
бесплатный и;0;0
нет не;0;0
сколько я;0;0
офис работает;0;0
работает с;0;0
необходимо уточнить;0;0
будете снимать;0;0
перевода от;0;0
денис добрый;1;0
мы проверим;0;0
можете ознакомиться;0;0
ольга добрый;1;0
платежных систем;0;0
на карты;0;0
сколько стоит;0;0
не выполнены;0;0
рабочих дня;0;0
за превышение;0;0
сколько будет;0;0
в режиме;0;0
а за;0;0
лимит снятия;0;0
ирина добрый;1;0
операции с;0;0
начисление процентов;0;0
и номер;0;0
вы переводите;0;0
мили не;0;0
ли мне;0;0
мне пожалуйста;0;0
она будет;0;0
идти в;0;0
необходимо уточнять;0;0
не была;0;0
все понятно;0;0
позвонить на;0;0
по смарт;0;0
прошла с;0;0
карты то;0;0
можно только;0;0
две карты;0;0
проценты начисляются;0;0
будет в;0;0
день и;0;0
по работе;0;0
валюте отличной;0;0
календарный месяц;0;0
наличных через;0;0
услуга подключена;0;0
на вашем;0;0
производится один;0;0
разблокировать карту;0;0
и комиссия;0;0
но на;0;0
от карты;0;0
приложении выберите;0;0
